dim,nthreads,prec,N,cpu_time_ns,real_time_ns,cpu_time_stddev_ns,repetitions,time_unit,l2_cache_bytes,l3_cache_bytes
1,16,d,54675.0,143266.60000000062,153060.00004784437,3996.4983958272624,8,ns,1048576,16777216
1,16,f,54675.0,89314.79999999964,127307.49986076262,2268.241549243333,8,ns,1048576,16777216
1,16,d,120000.0,256355.4999999995,285359.80000015115,9174.602867076255,8,ns,1048576,16777216
1,16,f,120000.0,198894.90000000037,211570.09978196584,5694.140903470853,8,ns,1048576,16777216
1,16,d,262144.0,376521.8999999987,441687.09973746445,9156.391860178805,8,ns,1048576,16777216
1,16,f,262144.0,247246.09999999814,302139.39990062505,4670.362871721864,8,ns,1048576,16777216
1,16,d,576000.0,1003137.3999999983,1153022.3000590922,20344.412129822085,8,ns,1048576,16777216
1,16,f,576000.0,610031.1999999997,657590.0999450823,13412.815698321825,8,ns,1048576,16777216
1,16,d,1265625.0,4890092.599999996,5136008.800036507,40760.439561090156,8,ns,1048576,16777216
1,16,f,1265625.0,1655249.6000000082,1800277.0000748571,22851.218787372476,8,ns,1048576,16777216
1,16,d,2799360.0,26480779.399999976,27696897.6999342,304143.642666282,8,ns,1048576,16777216
1,16,f,2799360.0,6257888.900000008,6605191.899870988,130484.91141310113,8,ns,1048576,16777216
1,16,d,6144000.0,70112798.50000012,74071064.49991262,893126.5110203126,8,ns,1048576,16777216
1,16,f,6144000.0,33815083.99999999,36086854.49999029,372788.0914731427,8,ns,1048576,16777216
1,16,d,13436928.0,168128567.49999982,175450726.69981894,4461510.57567152,8,ns,1048576,16777216
1,16,f,13436928.0,73548087.3000002,76107207.30008325,1024911.091564134,8,ns,1048576,16777216
1,16,d,29491200.0,403297976.99999976,427240907.3997551,10830874.354685303,8,ns,1048576,16777216
1,16,f,29491200.0,193628593.7000001,205149988.80025813,4160782.3891834747,8,ns,1048576,16777216
1,16,d,67108864.0,990425858.3000029,1031493352.5000017,21941565.811352707,8,ns,1048576,16777216
1,16,f,67108864.0,492210695.8000001,534176444.30010116,13024626.905102424,8,ns,1048576,16777216
2,1,d,10.0,791.6000000000173,797.400025476236,27.38106749455668,8,ns,1048576,16777216
2,1,f,10.0,716.3000000000135,729.2997906915845,43.52628105932603,8,ns,1048576,16777216
2,1,d,15.0,1251.4000000000362,1257.3000276461244,22.696239461952104,8,ns,1048576,16777216
2,1,f,15.0,1096.1000000000304,1097.0998118864372,25.34864042564555,8,ns,1048576,16777216
2,1,d,24.0,2281.2000000000094,2286.2999685457908,32.071070631159515,8,ns,1048576,16777216
2,1,f,24.0,1693.1999999999884,1696.1997971520761,20.93384136478296,8,ns,1048576,16777216
2,1,d,36.0,5094.600000000007,5105.700074636844,24.5626894758663,8,ns,1048576,16777216
2,1,f,36.0,3555.6999999999866,3561.7998946690936,302.3250556697262,8,ns,1048576,16777216
2,1,d,54.0,11926.300000000054,11932.400047953708,635.2460670592815,8,ns,1048576,16777216
2,1,f,54.0,8351.699999999997,8360.60007713968,601.8330570610343,8,ns,1048576,16777216
2,1,d,80.0,23232.499999999938,23245.800002769105,510.93070259798,8,ns,1048576,16777216
2,1,f,80.0,16103.200000000019,16110.199976537842,15.675276257083683,8,ns,1048576,16777216
2,1,d,120.0,52556.500000000044,52583.89992377489,23408.564976932754,8,ns,1048576,16777216
2,1,f,120.0,37072.60000000018,37086.70010382775,917.5712771068243,8,ns,1048576,16777216
2,1,d,180.0,145214.3999999999,145210.30025207438,1798.6666202248887,8,ns,1048576,16777216
2,1,f,180.0,89603.09999999986,89606.59997683253,1764.1862128388466,8,ns,1048576,16777216
2,1,d,256.0,288551.29999999993,288554.89999841666,122400.4908102089,8,ns,1048576,16777216
2,1,f,256.0,171823.1999999993,171822.19999085646,998.0494573310087,8,ns,1048576,16777216
2,1,d,384.0,812568.000000001,812579.8000037321,6267.849550559631,8,ns,1048576,16777216
2,1,f,384.0,444379.4000000001,444377.99988372717,3628.0641645541764,8,ns,1048576,16777216
2,1,d,600.0,2090489.6999999976,2090512.000177114,170818.30552132233,8,ns,1048576,16777216
2,1,f,600.0,1209934.3000000014,1209997.499972815,120739.64300464245,8,ns,1048576,16777216
2,1,d,900.0,5310752.299999999,5495725.499895344,245094.9801785025,8,ns,1048576,16777216
2,1,f,900.0,2852729.2000000095,2853433.299787867,25954.05848841607,8,ns,1048576,16777216
2,1,d,1350.0,15424292.600000069,15427537.899995513,487832.4884575553,8,ns,1048576,16777216
2,1,f,1350.0,7527309.6999999955,7529035.800143902,319880.0500930535,8,ns,1048576,16777216
2,1,d,2000.0,38218075.80000006,38222705.70017281,491862.8935070664,8,ns,1048576,16777216
