configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.3,240000000.0,231520753.24999988,232112495.62518787,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.35,240000000.0,214780203.2499999,215340779.75047693,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.4,240000000.0,214279211.6250001,214825645.62575135,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.45,160000000.0,195560873.24999982,196079889.6234337,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.5,160000000.0,195810363.0000001,196292958.74983653,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.55,160000000.0,195878191.49999985,196372772.87620237,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.6,160000000.0,196001140.74999997,196502882.49977165,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.65,160000000.0,195928505.24999994,196434023.75004372,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.7,160000000.0,195640088.50000024,196147943.37576315,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.75,160000000.0,197108499.00000006,197619950.873559,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.8,160000000.0,197192891.75000033,197701133.25103012,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.85,160000000.0,197154655.1250003,197678740.62381452,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.9,160000000.0,197202203.62499985,197713391.87536797,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.9500000000000002,160000000.0,196823910.12500045,197355671.12547868,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,2.0,160000000.0,197177683.3750001,197716221.62443236,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.25,320000000.0,230993614.5,231630496.24963605,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.3,320000000.0,230963577.6250001,231592491.5001233,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.35,240000000.0,215985911.75000003,216557172.87467268,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.4,240000000.0,216048791.75000003,216613564.8749332,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.45,240000000.0,215928919.87500006,216507996.87449762,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.5,240000000.0,216656024.3750002,217226318.5002521,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.55,240000000.0,216253043.00000003,216820176.87453482,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.6,240000000.0,217066940.6250001,217664914.87505847,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.65,240000000.0,216314259.62499985,216893117.87486076,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.7,240000000.0,215863958.62499997,216429305.2501307,ns
