dim,density,nthreads,max_sp,M,N_total,rep,spread_s,cycles_total,gather_pct,spread_pct,add_pct,other_pct,gather_cycles,spread_cycles,add_cycles,gather_ms,spread_ms,add_ms
1,0.5,8,125614,44739242,89478484,0,0.21,36703332099,8.38,2.92,1.98,86.27,3.0757e+09,1.0717e+09,7.2673e+08,132.52,46.17,31.31
1,0.5,8,445204,44739242,89478484,0,0.245,38953997577,8.44,3.2,2.11,85.53,3.2877e+09,1.2465e+09,8.2193e+08,150.39,57.02,37.6
1,0.5,8,1577898,44739242,89478484,0,0.311,38449300782,8.5,3.26,2.23,85.36,3.2682e+09,1.2534e+09,8.5742e+08,188.96,72.47,49.57
1,0.5,8,5592405,44739242,89478484,0,0.434,39394427199,8.47,3.19,2.02,85.64,3.3367e+09,1.2567e+09,7.9577e+08,268.71,101.2,64.08
1,0.5,all,10000,44739242,89478484,0,0.0854,159480361438,5.66,1.59,3.25,88.94,9.0266e+09,2.5357e+09,5.1831e+09,46.03,12.93,26.43
1,0.5,all,23383,44739242,89478484,0,0.0908,158188279394,6.72,1.07,3.01,88.6,1.0630e+10,1.6926e+09,4.7615e+09,56.5,9.0,25.31
1,0.5,all,54677,44739242,89478484,0,0.108,161342399427,7.95,1.26,3.04,87.15,1.2827e+10,2.0329e+09,4.9048e+09,70.09,11.11,26.8
1,0.5,all,127851,44739242,89478484,0,0.121,169050555919,8.0,1.78,3.22,86.42,1.3524e+10,3.0091e+09,5.4434e+09,74.46,16.57,29.97
1,0.5,all,298956,44739242,89478484,0,0.136,167110563627,8.27,1.58,3.08,86.47,1.3820e+10,2.6403e+09,5.1470e+09,86.99,16.62,32.4
1,0.5,all,699051,44739242,89478484,0,0.137,187186743316,7.65,1.26,2.25,88.19,1.4320e+10,2.3586e+09,4.2117e+09,93.91,15.47,27.62
1,1,1,10000,44739242,44739242,0,1.02,23325994791,9.78,4.68,0.9,84.42,2.2813e+09,1.0917e+09,2.0993e+08,649.45,310.78,59.77
1,1,1,53720,44739242,44739242,0,1.11,23176293315,9.3,5.75,1.12,83.46,2.1554e+09,1.3326e+09,2.5957e+08,638.4,394.71,76.88
1,1,1,288586,44739242,44739242,0,1.05,23351482262,9.88,4.57,1.16,84.1,2.3071e+09,1.0672e+09,2.7088e+08,664.57,307.4,78.03
1,1,1,1550291,44739242,44739242,0,1.12,23631480605,10.3,4.27,1.19,83.87,2.4340e+09,1.0091e+09,2.8121e+08,731.98,303.45,84.57
1,1,1,8328195,44739242,44739242,0,1.22,23926187586,10.4,4.83,1.5,82.94,2.4883e+09,1.1556e+09,3.5889e+08,758.4,352.22,109.38
1,1,1,44739242,44739242,44739242,0,1.38,24296422154,9.79,4.75,1.49,83.52,2.3786e+09,1.1541e+09,3.6202e+08,842.81,408.92,128.27
1,1,8,10000,44739242,44739242,0,0.161,30809469840,9.68,3.58,0.92,85.42,2.9824e+09,1.1030e+09,2.8345e+08,109.91,40.65,10.45
1,1,8,35442,44739242,44739242,0,0.189,31728453081,9.48,4.94,1.09,84.08,3.0079e+09,1.5674e+09,3.4584e+08,115.52,60.2,13.28
1,1,8,125614,44739242,44739242,0,0.165,30551542102,9.87,3.44,1.14,85.16,3.0154e+09,1.0510e+09,3.4829e+08,112.7,39.28,13.02
1,1,8,445204,44739242,44739242,0,0.191,31573199793,10.18,3.56,1.19,84.72,3.2142e+09,1.1240e+09,3.7572e+08,130.23,45.54,15.22
1,1,8,1577898,44739242,44739242,0,0.24,32698393891,10.05,3.56,1.32,84.68,3.2862e+09,1.1641e+09,4.3162e+08,161.55,57.23,21.22
1,1,8,5592405,44739242,44739242,0,0.356,32987852188,10.01,3.44,1.2,85.02,3.3021e+09,1.1348e+09,3.9585e+08,243.25,83.59,29.16
1,1,all,10000,44739242,44739242,0,0.0716,118097229807,7.86,2.15,2.24,87.19,9.2824e+09,2.5391e+09,2.6454e+09,45.94,12.57,13.09
1,1,all,23383,44739242,44739242,0,0.0736,117409283907,8.23,1.5,2.14,87.6,9.6628e+09,1.7611e+09,2.5126e+09,51.03,9.3,13.27
1,1,all,54677,44739242,44739242,0,0.0851,120028603039,10.75,1.08,1.93,85.63,1.2903e+10,1.2963e+09,2.3166e+09,66.48,6.68,11.94
1,1,all,127851,44739242,44739242,0,0.094,122005727181,11.06,1.56,2.11,84.72,1.3494e+10,1.9033e+09,2.5743e+09,70.58,9.96,13.47
1,1,all,298956,44739242,44739242,0,0.106,139984622239,9.46,1.38,1.8,86.74,1.3243e+10,1.9318e+09,2.5197e+09,79.33,11.57,15.09
1,1,all,699051,44739242,44739242,0,0.116,138117737838,10.13,1.23,1.43,86.58,1.3991e+10,1.6988e+09,1.9751e+09,91.87,11.16,12.97
1,2,1,10000,44739242,22369621,0,0.982,20647813190,10.86,5.4,0.51,82.9,2.2424e+09,1.1150e+09,1.0530e+08,635.93,316.21,29.86
1,2,1,53720,44739242,22369621,0,1.09,20876808783,10.87,6.51,0.59,81.59,2.2693e+09,1.3591e+09,1.2317e+08,659.34,394.87,35.79
1,2,1,288586,44739242,22369621,0,1.02,20840741544,11.2,5.37,0.65,82.27,2.3342e+09,1.1191e+09,1.3546e+08,663.41,318.08,38.5
1,2,1,1550291,44739242,22369621,0,1.03,20503575907,11.08,5.32,0.7,82.15,2.2718e+09,1.0908e+09,1.4353e+08,667.39,320.44,42.16
1,2,1,8328195,44739242,22369621,0,1.13,21112285059,11.73,5.3,0.85,81.81,2.4765e+09,1.1190e+09,1.7945e+08,741.33,334.96,53.72
1,2,1,44739242,44739242,22369621,0,1.3,21873443978,11.47,4.84,0.84,82.45,2.5089e+09,1.0587e+09,1.8374e+08,869.45,366.88,63.67
1,2,8,10000,44739242,22369621,0,0.156,27615729825,10.62,4.33,0.54,84.25,2.9328e+09,1.1958e+09,1.4912e+08,106.95,43.61,5.44
1,2,8,35442,44739242,22369621,0,0.173,28098242099,10.54,5.48,0.5,83.15,2.9616e+09,1.5398e+09,1.4049e+08,110.38,57.39,5.24
1,2,8,125614,44739242,22369621,0,0.158,27839145783,10.99,3.86,0.71,84.12,3.0595e+09,1.0746e+09,1.9766e+08,111.6,39.2,7.21
1,2,8,445204,44739242,22369621,0,0.176,28540154154,11.54,3.9,0.62,83.52,3.2935e+09,1.1131e+09,1.7695e+08,126.47,42.74,6.79
1,2,8,1577898,44739242,22369621,0,0.211,28768221154,11.42,3.84,0.7,83.75,3.2853e+09,1.1047e+09,2.0138e+08,150.98,50.77,9.25
1,2,8,5592405,44739242,22369621,0,0.304,29498007225,11.06,3.73,0.67,84.17,3.2625e+09,1.1003e+09,1.9764e+08,217.48,73.35,13.17
1,2,all,10000,44739242,22369621,0,0.0636,91562590822,9.61,2.43,1.63,85.78,8.7992e+09,2.2250e+09,1.4925e+09,44.71,11.31,7.58
1,2,all,23383,44739242,22369621,0,0.0669,93938164370,10.38,2.08,1.42,85.42,9.7508e+09,1.9539e+09,1.3339e+09,50.03,10.03,6.84
1,2,all,54677,44739242,22369621,0,0.0733,93288862078,12.87,1.3,1.19,84.07,1.2006e+10,1.2128e+09,1.1101e+09,61.42,6.2,5.68
1,2,all,127851,44739242,22369621,0,0.0825,95237141380,13.86,1.57,1.28,82.6,1.3200e+10,1.4952e+09,1.2190e+09,68.43,7.75,6.32
1,2,all,298956,44739242,22369621,0,0.0955,102039235939,11.95,1.46,1.22,84.69,1.2194e+10,1.4898e+09,1.2449e+09,78.01,9.53,7.96
1,2,all,699051,44739242,22369621,0,0.119,102001311964,11.71,1.41,1.12,85.04,1.1944e+10,1.4382e+09,1.1424e+09,97.86,11.78,9.36
1,4,1,10000,44739242,11184810,0,0.972,18371831111,12.1,5.96,0.3,81.44,2.2230e+09,1.0950e+09,5.5115e+07,640.59,315.53,15.88
1,4,1,53720,44739242,11184810,0,1.06,18581237673,12.15,7.37,0.23,79.84,2.2576e+09,1.3694e+09,4.2737e+07,652.1,395.55,12.34
1,4,1,288586,44739242,11184810,0,0.986,18558956715,12.48,5.92,0.38,80.98,2.3162e+09,1.0987e+09,7.0524e+07,655.23,310.82,19.95
1,4,1,1550291,44739242,11184810,0,1.02,18664071271,12.78,5.78,0.38,80.54,2.3853e+09,1.0788e+09,7.0923e+07,688.26,311.28,20.46
1,4,1,8328195,44739242,11184810,0,1.08,18738411408,13.19,5.91,0.45,80.3,2.4716e+09,1.1074e+09,8.4323e+07,728.65,326.49,24.86
1,4,1,44739242,44739242,11184810,0,1.23,19423373197,12.71,5.81,0.46,80.5,2.4687e+09,1.1285e+09,8.9348e+07,823.67,376.52,29.81
1,4,8,10000,44739242,11184810,0,0.15,25075795624,11.2,4.99,0.29,83.08,2.8085e+09,1.2513e+09,7.2720e+07,101.94,45.42,2.64
1,4,8,35442,44739242,11184810,0,0.166,26178557320,11.25,5.67,0.32,82.37,2.9451e+09,1.4843e+09,8.3771e+07,108.32,54.6,3.08
1,4,8,125614,44739242,11184810,0,0.151,25213454571,11.83,4.18,0.32,83.21,2.9828e+09,1.0539e+09,8.0683e+07,109.39,38.65,2.96
1,4,8,445204,44739242,11184810,0,0.169,26089272043,12.28,4.22,0.34,82.78,3.2038e+09,1.1010e+09,8.8704e+07,123.24,42.35,3.41
1,4,8,1577898,44739242,11184810,0,0.2,26650179763,12.12,4.18,0.35,82.92,3.2300e+09,1.1140e+09,9.3276e+07,145.59,50.21,4.2
1,4,8,5592405,44739242,11184810,0,0.289,26932223173,12.11,4.12,0.36,83.07,3.2615e+09,1.1096e+09,9.6956e+07,210.96,71.77,6.27
1,4,all,10000,44739242,11184810,0,0.0593,75705764034,11.48,2.46,1.2,84.33,8.6910e+09,1.8624e+09,9.0847e+08,44.96,9.64,4.7
1,4,all,23383,44739242,11184810,0,0.0603,76469734487,12.18,2.59,0.81,83.86,9.3140e+09,1.9806e+09,6.1940e+08,47.14,10.02,3.13
1,4,all,54677,44739242,11184810,0,0.0672,79608291423,14.02,1.73,0.79,82.84,1.1161e+10,1.3772e+09,6.2891e+08,56.96,7.03,3.21
1,4,all,127851,44739242,11184810,0,0.0842,80834904791,13.7,1.91,0.77,82.96,1.1074e+10,1.5439e+09,6.2243e+08,70.42,9.82,3.96
1,4,all,298956,44739242,11184810,0,0.105,80368645452,13.94,1.86,0.74,82.75,1.1203e+10,1.4949e+09,5.9473e+08,88.49,11.81,4.7
1,4,all,699051,44739242,11184810,0,0.131,81426129024,14.21,1.71,0.69,82.7,1.1571e+10,1.3924e+09,5.6184e+08,112.07,13.49,5.44
1,8,1,10000,44739242,5592405,0,0.963,17010028364,12.98,6.65,0.16,80.56,2.2079e+09,1.1312e+09,2.7216e+07,631.62,323.6,7.79
1,8,1,53720,44739242,5592405,0,1.06,17396249881,12.72,7.91,0.12,79.29,2.2128e+09,1.3760e+09,2.0875e+07,649.79,404.08,6.13
1,8,1,288586,44739242,5592405,0,0.975,17097845121,13.54,6.4,0.18,80.53,2.3150e+09,1.0943e+09,3.0776e+07,656.14,310.14,8.72
1,8,1,1550291,44739242,5592405,0,0.99,17206849300,13.74,6.47,0.21,79.77,2.3642e+09,1.1133e+09,3.6134e+07,666.14,313.68,10.18
1,8,1,8328195,44739242,5592405,0,1.07,17535460791,14.25,6.31,0.23,79.38,2.4988e+09,1.1065e+09,4.0332e+07,733.41,324.76,11.84
1,8,1,44739242,44739242,5592405,0,1.19,17894953937,13.89,6.18,0.26,79.12,2.4856e+09,1.1059e+09,4.6527e+07,813.04,361.74,15.22
1,8,8,10000,44739242,5592405,0,0.153,23719630223,12.12,5.62,0.2,81.76,2.8748e+09,1.3330e+09,4.7439e+07,103.36,47.93,1.71
1,8,8,35442,44739242,5592405,0,0.163,24022188273,12.4,6.19,0.15,80.88,2.9788e+09,1.4870e+09,3.6033e+07,107.85,53.84,1.3
1,8,8,125614,44739242,5592405,0,0.152,23252426121,12.95,4.63,0.19,81.92,3.0112e+09,1.0766e+09,4.4180e+07,110.77,39.6,1.63
1,8,8,445204,44739242,5592405,0,0.166,23555877074,13.43,4.64,0.16,81.33,3.1636e+09,1.0930e+09,3.7689e+07,122.29,42.25,1.46
1,8,8,1577898,44739242,5592405,0,0.193,24422837700,13.41,4.54,0.19,81.46,3.2751e+09,1.1088e+09,4.6403e+07,142.68,48.3,2.02
1,8,8,5592405,44739242,5592405,0,0.284,24945163399,13.25,4.35,0.2,81.74,3.3052e+09,1.0851e+09,4.9890e+07,211.4,69.4,3.19
1,8,all,10000,44739242,5592405,0,0.0571,69512506992,12.77,2.58,0.76,83.34,8.8767e+09,1.7934e+09,5.2830e+08,45.26,9.14,2.69
1,8,all,23383,44739242,5592405,0,0.0606,70838943676,13.41,2.8,0.49,82.66,9.4995e+09,1.9835e+09,3.4711e+08,48.66,10.16,1.78
1,8,all,54677,44739242,5592405,0,0.069,69896750119,14.66,2.11,0.5,82.2,1.0247e+10,1.4748e+09,3.4948e+08,58.57,8.43,2.0
1,8,all,127851,44739242,5592405,0,0.0899,70818070701,13.84,2.07,0.46,82.86,9.8012e+09,1.4659e+09,3.2576e+08,76.01,11.37,2.53
1,8,all,298956,44739242,5592405,0,0.114,74317892972,13.6,1.93,0.44,83.26,1.0107e+10,1.4343e+09,3.2700e+08,97.08,13.78,3.14
1,8,all,699051,44739242,5592405,0,0.12,74475969266,14.91,1.77,0.39,82.24,1.1104e+10,1.3182e+09,2.9046e+08,104.82,12.44,2.74
1,16,1,10000,44739242,2796202,0,0.969,16397416805,13.46,6.7,0.12,79.93,2.2071e+09,1.0986e+09,1.9677e+07,643.13,320.13,5.73
1,16,1,53720,44739242,2796202,0,1.05,16716748429,13.31,8.59,0.12,78.35,2.2250e+09,1.4360e+09,2.0060e+07,634.67,409.6,5.72
1,16,1,288586,44739242,2796202,0,0.974,16618920309,13.76,6.6,0.14,80.11,2.2868e+09,1.0968e+09,2.3266e+07,653.77,313.58,6.65
1,16,1,1550291,44739242,2796202,0,0.989,16612528385,14.33,6.75,0.1,79.01,2.3806e+09,1.1213e+09,1.6613e+07,669.14,315.19,4.67
1,16,1,8328195,44739242,2796202,0,1.05,16667500852,14.88,6.68,0.11,78.51,2.4801e+09,1.1134e+09,1.8334e+07,721.0,323.67,5.33
1,16,1,44739242,44739242,2796202,0,1.16,16946649757,14.17,6.6,0.12,79.31,2.4013e+09,1.1185e+09,2.0336e+07,786.85,366.49,6.66
1,16,8,10000,44739242,2796202,0,0.153,21537794653,13.67,5.91,0.11,80.1,2.9442e+09,1.2729e+09,2.3692e+07,106.22,45.92,0.85
1,16,8,35442,44739242,2796202,0,0.162,21761249971,13.65,6.67,0.09,79.25,2.9704e+09,1.4515e+09,1.9585e+07,108.34,52.94,0.71
1,16,8,125614,44739242,2796202,0,0.155,21586728011,14.16,5.13,0.11,80.25,3.0567e+09,1.1074e+09,2.3745e+07,113.13,40.99,0.88
